u,v,length,highway,geometry,edge_id
1614219915,2445376558,701.0670000000001,motorway_link,"LINESTRING (77.6722849 12.8454592, 77.6722571 12.8454034, 77.6722454 12.8453512, 77.6722424 12.8453172, 77.6722535 12.845274, 77.6722776 12.8452191, 77.6723125 12.8451459, 77.6724278 12.8449497, 77.6726022 12.8447013, 77.6730184 12.8440996, 77.6730903 12.8440083, 77.6731467 12.8439508, 77.6732008 12.8439113, 77.6732647 12.8438749, 77.6733484 12.8438407, 77.6734127 12.8438276, 77.67349 12.8438174, 77.6735597 12.8438174, 77.6736375 12.8438252, 77.6737019 12.8438409, 77.6737636 12.8438592, 77.6738387 12.8438932, 77.6739406 12.8439638, 77.6740028 12.844029, 77.6740613 12.8441024, 77.6741015 12.8441835, 77.674131 12.8442829, 77.6741477 12.8443898, 77.674145 12.8444657, 77.6741316 12.8445598, 77.6741021 12.8446514, 77.6740668 12.8447265, 77.6740228 12.8447879, 77.6739917 12.8448257, 77.6739594 12.844853, 77.6738789 12.8449027, 77.6737823 12.8449419, 77.6736494 12.8450052, 77.6735839 12.8450439, 77.6734846 12.845104, 77.6734047 12.8451639, 77.6733317 12.8452191, 77.6732432 12.845308, 77.673166 12.845381, 77.6730882 12.8454699, 77.6730166 12.8455712, 77.6728991 12.8457277, 77.6727171 12.8459703, 77.6726668 12.8460791, 77.6726429 12.8461892, 77.6726386 12.8463289, 77.672669 12.846458, 77.6727125 12.8465426, 77.6727683 12.8466376, 77.6729965 12.8468327)",173
1723962297,1597811522,41.185,tertiary,"LINESTRING (77.6708816 12.8470997, 77.670736 12.8474418)",174
1723962297,13119633133,23.802,tertiary,"LINESTRING (77.6708816 12.8470997, 77.6708655 12.8470905, 77.6707738 12.8470392, 77.6706939 12.8469888)",175
1724044273,2445376558,88.307,tertiary,"LINESTRING (77.6722445 12.8465275, 77.6729965 12.8468327)",176
1724044273,459516935,164.661,tertiary,"LINESTRING (77.6722445 12.8465275, 77.671927 12.8468737, 77.6719144 12.8468875, 77.6718896 12.8469155, 77.6712628 12.8476571)",177
1724044273,5968914606,264.444,tertiary,"LINESTRING (77.6722445 12.8465275, 77.6725853 12.8459752, 77.6736514 12.8445877)",178
1724068105,2389211789,85.662,tertiary,"LINESTRING (77.6818532 12.8276365, 77.6821504 12.8269227)",179
1724068105,10118399443,5.917,tertiary,"LINESTRING (77.6818532 12.8276365, 77.6818373 12.8276874)",180
1724068162,10001212631,19.96,tertiary,"LINESTRING (77.68385 12.8241903, 77.6840293 12.824231)",181
1724068162,1827518758,796.7930000000001,tertiary,"LINESTRING (77.68385 12.8241903, 77.6835448 12.8241539, 77.6825778 12.8240386, 77.6823946 12.8240168, 77.681152 12.8238669, 77.680786 12.8238227, 77.6806355 12.8237953, 77.6805764 12.8237845, 77.6803807 12.8237489, 77.680136 12.8237043, 77.6796518 12.8236161, 77.6790765 12.8235189, 77.6788799 12.8234895, 77.6786059 12.8234467, 77.6785221 12.8234386, 77.6784404 12.8234234, 77.6781657 12.8233723, 77.677784 12.8233012, 77.6774753 12.823263, 77.6770004 12.8232042, 77.6767143 12.8231193, 77.6766003 12.8230736)",182
1724068162,1964047103,483.96400000000006,tertiary,"LINESTRING (77.68385 12.8241903, 77.6843266 12.8236353, 77.6848227 12.8231416, 77.6849517 12.8230051, 77.6855869 12.8222485, 77.6858616 12.8219301, 77.6859062 12.8218789, 77.6867971 12.8209243)",183
